order_id,order_date,ship_date,customer_id,product_id,region,category,sub_category,quantity,sales,discount,profit
NM202405197453,15-May-2024,15-May-2024,CU0172,PR512,Central,furniture,Tables,5,"$3,136.28",0.1,598.47
NM202405851211,"May 10, 2024","May 13, 2024",CU0031,PR524,SOUTH,Office Supplies,Art,7,$532.41,0.1,70.83
NM202405709453,16-May-2024,21-May-2024,CU0041,PR524, South,office supplies,Art,6,$431.00,0.15,35.36
NM202405503321,2024-05-15,2024-05-17,CU0216,PR506,South ,TECHNOLOGY,Accessories,2,"$1,307.60",0,651.04
NM202405516638,22-May-2024,25-May-2024,CU0089,PR522,West ,office supplies,Storage,2,$66.70,0.2,22.66
NM202405531225,29-May-2024,29-May-2024,CU0047,PR524, East,Office Supplies,Art,4,$338.04,0,74.28
NM202405925964,25-May-2024,30-May-2024,CU0175,PR502,Central,TECHNOLOGY,Phones,4,"$1,078.48",0.15,428.72
NM202405650944,06-May-2024,07-May-2024,CU0035,PR515,central,furniture,Bookcases,4,"$1,602.47",0.3,335.35
NM202405780239,29-May-2024,29-May-2024,CU0002,PR505,West ,Technology,Accessories,4,$466.18,0.4,16.1
NM202405217014,28-May-2024,04-Jun-2024,CU0158,PR517, South,Office Supplies,Binders,8,$707.52,0,324.64
NM202405415764,02-May-2024,06-May-2024,CU0231,PR512,West ,FURNITURE,Tables,5,"$2,787.80",0.2,250.0
NM202405253091,13-May-2024,15-May-2024,CU0213,PR503,south,TECHNOLOGY,Phones,7,"$1,084.23",0,397.6
NM202405263366,25-May-2024,25-May-2024,CU0239,PR516, South,OFFICE SUPPLIES,Binders,5,$38.56,0.2,14.16
NM202405841921,26-May-2024,27-May-2024,CU0060,PR507,South,Technology,Machines,7,$298.83,0,159.88
NM202405146685,27-May-2024,29-May-2024,CU0147,PR509, West,TECHNOLOGY,Machines,4,"$1,854.92",0.3,510.08
NM202405157256,"May 05, 2024","May 09, 2024",CU0036,PR502,CENTRAL,Technology,Phones,4,"$1,268.80",0,619.04
NM202405571549,26-May-2024,02-Jun-2024,CU0001,PR502,south,technology,Phones,4,"$1,015.04",0.2,365.28
NM202405176202,14-May-2024,17-May-2024,CU0167,PR519,South,Office Supplies,Paper,7,$70.94,0.1,20.61
NM202405951006,31-May-2024,31-May-2024,CU0042,PR513,CENTRAL,Furniture,Tables,1,$152.42,0.4,-43.61
NM202405229039,24-May-2024,25-May-2024,CU0021,PR502,south,technology,Phones,3,$666.12,0.3,178.8
NM202405744162,2024-05-13,2024-05-16,CU0202,PR517,central,Office Supplies,Binders,5,$309.54,0.3,70.24
NM202405537222,03-May-2024,07-May-2024,CU0220,PR514,central,Furniture,Bookcases,3,$715.42,0.1,235.33
NM202405238434,08-May-2024,08-May-2024,CU0172,PR509, Central,TECHNOLOGY,Machines,5,"$2,815.50",0.15,1134.45
NM202405359788,25-May-2024,31-May-2024,CU0186,PR506,EAST,Technology,Accessories,2,"$1,307.60",0,651.04
NM202405514038,28-May-2024,28-May-2024,CU0015,PR501,East ,technology,Phones,3,"$3,120.18",0,979.95
NM202405456374,17-May-2024,18-May-2024,CU0235,PR519, East,Office Supplies,Paper,2,$22.52,0,
NM202405605495,01-May-2024,03-May-2024,CU0092,PR520,South,Office Supplies,Paper,1,$9.90,0,4.69
NM202405741050,18-May-2024,25-May-2024,CU0219,PR501,WEST,TECHNOLOGY,Phones,6,"$5,304.31",0.15,1023.85
NM202405578416,20-May-2024,20-May-2024,CU0162,PR523,south,OFFICE SUPPLIES,Art,4,$204.12,0,49.52
NM202405500835,25-May-2024,31-May-2024,CU0193,PR508,EAST,technology,Machines,2,$458.90,,222.42
NM202405588669,04-May-2024,11-May-2024,CU0082,PR507,East ,Technology,Machines,5,$128.07,0.4,28.82
NM202405450654,02-May-2024,08-May-2024,CU0150,PR501,South,TECHNOLOGY,Phones,7,"$6,552.38",0.1,1558.51
NM202405881674,23-May-2024,23-May-2024,CU0088,PR506,Central,Technology,Accessories,7,"$3,203.62",0.3,905.66
NM202405594242,24-May-2024,26-May-2024,CU0038,PR523,SOUTH,Office Supplies,Art,6,$306.18,0,74.28
NM202405793799,27-May-2024,31-May-2024,CU0224,PR518,East ,OFFICE SUPPLIES,Paper,8,$541.20,0,269.2
NM202405884216,30-May-2024,30-May-2024,CU0002,PR504,WEST,Technology,Accessories,6,"$3,712.39",,1152.85
NM202405770195,16-May-2024,22-May-2024,CU0209,PR521,central,office supplies,Storage,2,$79.68,0.2,3.72
NM202405254363,12-May-2024,12-May-2024,CU0070,PR515,CENTRAL,furniture,Bookcases,1,$400.62,0.3,83.84
NM202405203290,23-May-2024,23-May-2024,CU0181,PR505,east,TECHNOLOGY,Accessories,8,"$1,553.92",0,653.76
NM202405441821,06-May-2024,07-May-2024,CU0024,PR505,East,technology,Accessories,3,$349.63,0.4,12.07
NM202405176219,10-May-2024,17-May-2024,CU0001,PR514,south,furniture,Bookcases,3,$715.42,0.1,235.33
NM202405287955,21-May-2024,23-May-2024,CU0230,PR508, Central,Technology,Machines,5,$458.90,0.6,-132.3
NM202405791051,01-May-2024,04-May-2024,CU0134,PR505,central,Technology,Accessories,2,$388.48,0,
NM202405579796,14-May-2024,19-May-2024,CU0193,PR508,East,TECHNOLOGY,Machines,1,$195.03,0.15,76.79
NM202405455143,26-May-2024,31-May-2024,CU0173,PR521,West,office supplies,Storage,1,$42.33,0.15,4.35
NM202405686161,20-May-2024,22-May-2024,CU0102,PR514,west,furniture,Bookcases,1,$158.98,0.4,-1.05
NM202405988063,19-May-2024,20-May-2024,CU0035,PR516,central,office supplies,Binders,2,$17.35,0.1,7.59
NM202405178003,"May 13, 2024","May 17, 2024",CU0183,PR522,CENTRAL,Office Supplies,Storage,1,$37.52,0.1,15.5
NM202405827629,11-May-2024,13-May-2024,CU0116,PR514,East,furniture,Bookcases,6,"$1,351.35",0.15,391.17
NM202405164682,11-May-2024,12-May-2024,CU0153,PR502, South,TECHNOLOGY,Phones,3,$856.44,0.1,369.12
NM202405828949,02-May-2024,06-May-2024,CU0212,PR511,east,FURNITURE,Chairs,3,$320.79,0.1,132.78
NM202405116853,20-May-2024,23-May-2024,CU0019,PR515,EAST,furniture,Bookcases,5,"$2,432.32",0.15,848.42
NM202405680995,13-May-2024,19-May-2024,CU0162,PR524,south,Office Supplies,Art,4,$338.04,0,74.28
NM202405105990,04-May-2024,09-May-2024,CU0218,PR513,East ,FURNITURE,Tables,6,"$1,371.82",0.1,195.64
