order_id,order_date,ship_date,customer_id,product_id,region,category,sub_category,quantity,sales,discount,profit
NM202406906727,"Jun 25, 2024","Jun 28, 2024",CU0118,PR512,SOUTH,Furniture,Tables,7,"$1,951.46",0.6,-1601.46
NM202406130571,"Jun 24, 2024","Jun 25, 2024",CU0161,PR507,Central ,TECHNOLOGY,Machines,7,$298.83,0,159.88
NM202406521980,09-Jun-2024,11-Jun-2024,CU0140,PR508,East ,Technology,Machines,8,"$1,560.26",0.15,614.34
NM202406886311,"Jun 07, 2024","Jun 11, 2024",CU0068,PR502,West ,TECHNOLOGY,Phones,1,$317.20,0,154.76
NM202406392198,"Jun 12, 2024","Jun 14, 2024",CU0231,PR509,west,Technology,Machines,7,"$3,709.83",0.2,1356.36
NM202406303184,"Jun 27, 2024","Jul 01, 2024",CU0031,PR518,SOUTH,Office Supplies,Paper,7,$426.20,0.1,188.2
NM202406665635,"Jun 25, 2024","Jun 29, 2024",CU0069,PR515,East,FURNITURE,Bookcases,2,"$1,144.62",0,511.06
NM202406645838,"Jun 14, 2024","Jun 19, 2024",CU0012,PR523,central,Office Supplies,Art,7,$250.05,0.3,-20.5
NM202406974585,"Jun 21, 2024","Jun 26, 2024",CU0103,PR502,South ,Technology,Phones,2,$380.64,0.4,55.76
NM202406166102,"Jun 18, 2024","Jun 23, 2024",CU0148,PR502,South ,Technology,Phones,8,"$2,283.84",0.1,984.32
NM202406136560,"Jun 17, 2024","Jun 19, 2024",CU0021,PR514,SOUTH,Furniture,Bookcases,8,"$2,119.76",0,839.52
NM202406754133,"Jun 13, 2024","Jun 13, 2024",CU0011,PR522,West,Office Supplies,Storage,1,$33.35,0.2,11.33
NM202406113074,"Jun 13, 2024","Jun 16, 2024",CU0080,PR515,South,FURNITURE,Bookcases,2,$801.23,,167.67
NM202406421581,"Jun 29, 2024","Jul 01, 2024",CU0207,PR522,CENTRAL,office supplies,Storage,6,$250.14,0,118.02
NM202406121377,"Jun 10, 2024","Jun 15, 2024",CU0172,PR501,Central,Technology,Phones,8,"$8,320.48",0,2613.2
NM202406790955,"Jun 22, 2024","Jun 28, 2024",CU0238,PR514,Central ,Furniture,Bookcases,5,$794.91,0.4,-5.24
NM202406671214,"Jun 17, 2024","Jun 18, 2024",CU0114,PR514,West,FURNITURE,Bookcases,7,"$1,854.79",0,734.58
NM202406420414,"Jun 16, 2024","Jun 22, 2024",CU0111,PR512,EAST,furniture,Tables,7,"$4,146.85",0.15,593.93
NM202406885096,"Jun 24, 2024","Jun 29, 2024",CU0092,PR524,south,Office Supplies,Art,6,$431.00,0.15,35.36
NM202406998112,"Jun 05, 2024","Jun 11, 2024",CU0078,PR522, South,Office Supplies,Storage,5,$125.07,0.4,14.97
NM202406569879,"Jun 27, 2024","Jul 03, 2024",CU0046,PR504, South,TECHNOLOGY,Accessories,5,"$3,275.64",0.1,1142.69
NM202406653942,"Jun 05, 2024","Jun 09, 2024",CU0032,PR503, Central,TECHNOLOGY,Phones,4,$526.63,0.15,134.27
NM202406619992,"Jun 16, 2024","Jun 18, 2024",CU0056,PR512,east,furniture,Tables,6,"$3,345.36",0.2,300.0
NM202406565906,2024-06-04,2024-06-04,CU0205,PR518,Central ,Office Supplies,Paper,8,$541.20,0,269.2
NM202406570710,"Jun 03, 2024","Jun 07, 2024",CU0063,PR520,Central,OFFICE SUPPLIES,Paper,7,$69.30,0,32.83
NM202406459919,"Jun 11, 2024","Jun 11, 2024",CU0094,PR513,East ,Furniture,Tables,1,$254.04,0,58.01
NM202406513450,"Jun 01, 2024","Jun 08, 2024",CU0148,PR510,south,furniture,Chairs,6,"$1,019.09",0.3,18.23
NM202406154944,"Jun 24, 2024","Jun 25, 2024",CU0046,PR507,South ,Technology,Machines,8,$307.37,0.1,148.57
NM202406984491,"Jun 12, 2024","Jun 12, 2024",CU0139,PR502, West,TECHNOLOGY,Phones,1,$253.76,0.2,91.32
NM202406850250,"Jun 10, 2024","Jun 10, 2024",CU0113,PR521,SOUTH,OFFICE SUPPLIES,Storage,8,$338.64,,34.8
NM202406412228,"Jun 04, 2024","Jun 11, 2024",CU0229,PR503,CENTRAL,Technology,Phones,5,$464.67,0.4,-25.78
NM202406781600,"Jun 25, 2024","Jun 30, 2024",CU0069,PR505,EAST,technology,Accessories,6,$932.35,,257.23
NM202406784160,"Jun 21, 2024","Jun 25, 2024",CU0091,PR519,west,OFFICE SUPPLIES,Paper,4,$45.04,0,16.28
NM202406347352,"Jun 05, 2024","Jun 07, 2024",CU0222,PR509,West ,technology,Machines,2,"$1,324.94",0,652.52
NM202406274787,"Jun 27, 2024","Jun 28, 2024",CU0112,PR524,South,office supplies,Art,3,$152.12,0.4,
NM202406361805,"Jun 01, 2024","Jun 05, 2024",CU0035,PR506,CENTRAL,Technology,Accessories,3,"$1,961.40",0,976.56
NM202406785092,"Jun 25, 2024","Jun 29, 2024",CU0098,PR521,central,office supplies,Storage,5,$249.00,0,59.1
NM202406537726,"Jun 05, 2024","Jun 12, 2024",CU0022,PR519, Central,Office Supplies,Paper,4,$45.04,0,16.28
NM202406494252,2024-06-28,2024-06-29,CU0208,PR517,west,office supplies,Binders,6,$424.51,0.2,137.35
NM202406327381,"Jun 14, 2024","Jun 21, 2024",CU0097,PR512,Central ,Furniture,Tables,7,"$4,878.65",0,1325.73
NM202406540432,"Jun 20, 2024","Jun 26, 2024",CU0064,PR518,West,OFFICE SUPPLIES,Paper,2,$54.12,0.6,-13.88
NM202406185249,"Jun 13, 2024","Jun 17, 2024",CU0007,PR522,East ,office supplies,Storage,6,$250.14,0,118.02
NM202406551597,"Jun 11, 2024","Jun 16, 2024",CU0056,PR511,east,Furniture,Chairs,2,$237.62,0,112.28
NM202406902385,"Jun 21, 2024","Jun 27, 2024",CU0102,PR520,West,Office Supplies,Paper,1,$8.91,0.1,3.7
NM202406444291,"Jun 26, 2024","Jun 27, 2024",CU0013,PR510, Central,Furniture,Chairs,1,$242.64,0,75.83
NM202406916723,"Jun 05, 2024","Jun 11, 2024",CU0234,PR515,West,Furniture,Bookcases,6,"$3,433.86",0,1533.18
NM202406556479,"Jun 17, 2024","Jun 22, 2024",CU0076,PR523,central,office supplies,Art,8,$367.42,0.1,58.22
NM202406800965,"Jun 02, 2024","Jun 09, 2024",CU0178,PR502,west,Technology,Phones,4,"$1,268.80",0,
NM202406354268,"Jun 26, 2024","Jul 02, 2024",CU0174,PR513, East,Furniture,Tables,7,"$1,422.62",0.2,50.41
NM202406699953,2024-06-26,2024-06-26,CU0119,PR508,west,Technology,Machines,1,$137.67,0.4,19.43
NM202406929567,"Jun 13, 2024","Jun 17, 2024",CU0063,PR503,Central,TECHNOLOGY,Phones,4,$619.56,0,227.2
NM202406311963,"Jun 03, 2024","Jun 06, 2024",CU0139,PR516, West,office supplies,Binders,7,$47.24,0.3,13.08
NM202406276559,"Jun 15, 2024","Jun 22, 2024",CU0084,PR509,South,Technology,Machines,4,"$2,649.88",0,
NM202406388854,"Jun 17, 2024","Jun 24, 2024",CU0054,PR505,South,TECHNOLOGY,Accessories,3,$524.45,0.1,186.89
NM202406854807,"Jun 09, 2024","Jun 14, 2024",CU0127,PR512, South,Furniture,Tables,6,"$4,181.70",0,1136.34
NM202406885928,"Jun 11, 2024","Jun 12, 2024",CU0015,PR516,East,Office Supplies,Binders,6,$57.84,0,28.56
NM202406216251,"Jun 12, 2024","Jun 15, 2024",CU0046,PR521,SOUTH,office supplies,Storage,5,$211.65,0.15,21.75
NM202406874294,"Jun 15, 2024","Jun 19, 2024",CU0041,PR506,South,TECHNOLOGY,Accessories,1,$653.80,0,325.52
